🕘️更新时间,#genre#
2025-08-11 18:36:05,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8

📺央视频道,#genre#

🌊港·澳·台,#genre#
凤凰中文,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰资讯,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰香港,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
TVB-翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
TVB-明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
TVB-1,http://s1.an94tv.cfd/aktv/CH-8/AKTV.m3u8
TVB-J1,http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
TVB-Plus,http://s1.an94tv.cfd/aktv/tvbplus/AKTV.m3u8
TVB-无线新闻,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
TVB-星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
TVB-明珠剧集,http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
TVB-翡翠剧集,http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
TVB-翡翠娱乐,http://s1.an94tv.cfd/aktv/CH-7/AKTV.m3u8
TVBS,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS-新闻,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
纬来体育,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
东森电影,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
东森新闻,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8

☘️广东频道,#genre#

📡地方卫视,#genre#

🏀体育频道,#genre#
纬来体育,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
Sky Sports F1,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
Astro Football,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
EuroSport 1,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport 2,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
TNT SPORTS 1,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT SPORTS 2,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT SPORTS 3,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
